INDO,779649089536
CBPE,766281252864
WIRG,752133210112
MTWI,748668583936
MOLI,746386030592
KONI,742559973376
PJAA,742400000000
KDSI,741959991296
WMUU,737647067136
CHIP,729430032384
IPOL,728101879808
BDKR,726032973824
ATAP,718750023680
BPFI,711282720768
KING,702770053120
AREA,690771460096
SHID,688385622016
MSKY,678085984256
AXIO,665774391296
SMGA,665000017920
DGIK,663182639104
STRK,654031978496
ZATA,653057982464
BAJA,651600003072
URBN,648876392448
WTON,644944560128
LEAD,643757441024
LFLO,635559149568
ZONE,635225178112
HDFA,634617200640
BRNA,631525933056
APEX,631271063552
EKAD,625403625472
LABS,620149997568
PGJO,612811472896
SOTS,610002403328
PADA,604800024576
PEVE,600312512512
PANR,599399989248
MDLN,597365817344
PBRX,580014768128
SULI,568869912576
PMUI,568400019456
SWID,565427044352
IDPR,560840048640
IRRA,557892435968
IBOS,556539445248
CHEK,555299766272
CASH,553538879488
KOKA,549375934464
PZZA,546999304192
UNTD,546666643456
BABY,536707366912
KDTN,535009984512
TRIS,532032356352
AWAN,528990011392
HOKI,522598612992
MHKI,521250013184
ENAK,518275137536
GUNA,510000005120
NIKL,509716692992
SMKL,509294706688
BTEK,509052452864
SSTM,501149138944
CLPI,494255210496
JECC,483840000000
MAXI,480504971264
WEGE,478599970816
KOCI,478015979520
GTRA,477382508544
HOPE,477200678912
NELY,474700021760
INPS,474500005888
HAIS,472724996096
MDKI,470607888384
BBSS,470401548288
BOAT,469225144320
FITT,461712293888
AHAP,460599984128
RMKO,460402425856
GLVA,458999988224
GPRA,457602138112
SURI,456074985472
GDYR,451000008704
AISA,445269245952
ESTA,441414483968
DART,439794728960
SRSN,439459971072
HALO,425511059456
KMDS,423999995904
VRNA,420864196608
YPAS,420840046592
VTNY,419767975936
PIPA,417983856640
HYGN,414696275968
DPUM,412289466368
IGAR,411934588928
BAYU,411502182400
SOFA,410086473728
RIGS,408117084160
UFOE,402858377216
ASPR,401375985664
TGUK,400002613248
TYRE,399972302848
PNSE,394119872512
KOBX,386324987904
PEGE,385344700416
EAST,383755714560
SMLE,381817094144
MUTU,379745173504
MGNA,371810828288
PRIM,371615203328
DADA,371576537088
WINE,371270025216
GRPM,370913280000
DYAN,367474933760
UNIQ,367260991488
SCNP,366918762496
CSIS,365960560640
KBAG,364650135552
BIPP,362064183296
WGSH,360704999424
SATU,357500026880
BMSR,357033607168
ESTI,354676736000
ELIT,353493090304
APLI,351569215488
VAST,351409766400
GOLD,347419082752
LUCY,345368461312
ASRM,345057853440
KBLM,344960008192
REAL,344947720192
PJHB,338038358016
IKPM,333563166720
CRSN,332579995648
NASA,330147856384
YOII,329866575872
TRUS,329600008192
PTPS,329462251520
CCSI,328000012288
DGNS,324500029440
SAFE,323555753984
TFAS,323183869952
JATI,322989490176
UVCR,316022882304
MPXL,314002309120
TRUK,313199984640
MICE,311999987712
ATLA,309978890240
AKPI,309185249280
DOSS,308774993920
NZIA,307655671808
SOLA,305725898752
TRON,303986835456
TARA,302089371648
TOSK,301894107136
PDES,301730004992
ASHA,299999985664
BEER,295999995904
NAIK,292986290176
TAMA,292800167936
LPLI,292608180224
ASPI,291303391232
HOMI,289799995392
PART,287910002688
OKAS,282440466432
KLAS,280620040192
IOTF,280385781760
