ticker,tv,bars,cost,beat,trades,expo,win,mean_tr,med_tr,null_beat,null_win,null_mean
ESIP,144796196.32416546,1635,0.021473015873015873,True,36,0.44954128440366975,0.2777777777777778,0.06448382925121297,-0.044097481227976305,0.25,0.2972222222222222,-0.005870052005297355
ESSA,2254160600.999998,3580,0.013192286257551769,False,85,0.46089385474860334,0.24705882352941178,0.00933484434773475,-0.049889633946713766,0.0,0.39176470588235296,0.008350909467222896
ESTA,156371901.00000015,1557,0.017795121951219513,True,37,0.5105973025048169,0.32432432432432434,0.1283308246522528,-0.047498042700704735,0.25,0.3932432432432432,0.04242469974477522
ESTI,487800.9999999996,6389,0.016126315789473683,False,117,0.448896540929723,0.2905982905982906,0.013706737940772542,-0.022337517757676367,0.2,0.28846153846153844,0.003037493377155673
ETWA,2746800.9999999977,4458,0.010728205128205128,False,104,0.42799461641991926,0.2403846153846154,0.007139811942681097,-0.04103120125667678,0.55,0.3735576923076923,0.0036134042852761254
EURO,551624001.0000006,973,0.015033962264150942,True,17,0.5457348406988695,0.47058823529411764,0.48136817613655,-0.0007370186548383909,0.05,0.4823529411764706,0.20772539791075617
EXCL,18461669791.553986,5147,0.009303703703703703,False,133,0.5133087235282688,0.2781954887218045,-0.004664814433801338,-0.041561712497654835,0.1,0.4270676691729323,-0.0011083251405852766
FAPA,60950001.000000104,1362,0.010407692307692309,False,25,0.6299559471365639,0.32,0.026466612756581732,-0.010407692307692309,0.0,0.49,0.020072363321810067
FAST,1957501.0000000002,6387,0.012742857142857143,False,144,0.4449663378738062,0.2152777777777778,-0.005822529725994325,-0.03370346953968387,0.0,0.3107638888888889,0.0003455895133211137
FASW,201706001.00000015,4421,0.008784713375796178,False,105,0.5121013345396969,0.3238095238095238,0.023407710508919776,-0.028392527713124567,0.0,0.4057142857142857,0.009534219266976196
FILM,12355157751.000004,1966,0.009706776180698151,True,38,0.49847405900305186,0.47368421052631576,0.11087447251459995,-0.04910665083743054,0.05,0.48947368421052634,0.044242778133580477
FINN,1695519951.0000021,478,0.014690909090909091,True,9,0.25732217573221755,0.2222222222222222,-0.08249896036633347,-0.11839461279461283,0.85,0.17222222222222222,-0.0782437236325198
FIRE,709294426.0,2267,0.014295652173913043,True,52,0.4477282752536392,0.3076923076923077,0.04385800947372504,-0.09101133844842285,0.65,0.3403846153846154,0.025493823419981618
FISH,272000.9999999999,6101,0.00833224043715847,False,133,0.482543845271267,0.2857142857142857,0.06689881081486244,-0.033973272891283324,0.15,0.3597744360902256,0.03224154712819306
FITT,128775601.00000004,1746,0.015215384615384617,True,39,0.5,0.3076923076923077,0.15526295989052255,-0.035017364813404436,0.25,0.4128205128205128,0.046976697677236244
FLMC,8828675.999999996,1237,0.018258227848101265,True,19,0.33710590137429264,0.3157894736842105,0.18811585610955542,-0.04124673359522767,0.5,0.31842105263157894,0.024062639855771215
FMII,941464.5826110841,5983,0.012814976713380822,False,121,0.4016379742604045,0.2231404958677686,-0.003894403365102968,-0.028521800704465073,0.15,0.2673553719008264,0.004864946530206351
FOLK,118500676.0000001,731,0.020525373134328357,True,13,0.4897400820793434,0.38461538461538464,0.19410095800826518,-0.05331225838023003,0.4,0.3153846153846154,0.09531860665771136
FORU,101500.99999999999,6102,0.011314285714285714,False,148,0.45149131432317274,0.20270270270270271,0.013380007500849144,-0.06536833976833978,0.1,0.3587837837837838,0.028602491777495537
FORZ,5656078001.000007,504,0.012093506493506493,False,10,0.42857142857142855,0.3,0.015658149499916695,-0.021708891108891126,0.0,0.46,0.014599580071888042
FPNI,11389700.999999994,6056,0.010728205128205128,False,146,0.410336856010568,0.2191780821917808,0.020837817323567247,-0.047667776278302626,0.05,0.32465753424657534,0.012094466299096746
FREN,58500397.16177042,3034,0.01616754009710428,True,50,0.3701384311140409,0.24,0.06347088649698845,-0.01616754009710428,0.65,0.229,-0.01356866348382725
FUJI,14855626.000000004,1727,0.013062686567164179,True,44,0.5014475969889982,0.22727272727272727,0.04297494472776224,-0.03158120508568267,0.35,0.40795454545454546,0.027114788332028687
FUTR,1256193750.9999998,830,0.01757604790419162,True,13,0.46987951807228917,0.3076923076923077,1.1102936213609569,-0.01757604790419162,0.3,0.38846153846153847,0.27148568728578437
FWCT,307662650.99999946,848,0.01441057268722467,True,25,0.43042452830188677,0.2,0.003478278775253415,-0.04541837058284425,0.45,0.342,-0.009845991150896688
GAMA,8452500.999999993,1671,0.0256,False,33,0.35368043087971274,0.09090909090909091,-0.07407467316711294,-0.04520784313725494,0.75,0.1484848484848485,-0.019379913902024554
GDST,67899700.99999997,4097,0.015403921568627452,False,102,0.44642421283866246,0.22549019607843138,-0.002484194459995893,-0.04164535481984376,0.1,0.3524509803921569,-0.006931399616561301
GDYR,43501.00000000004,5996,0.009402281368821293,False,139,0.5091727818545697,0.23741007194244604,0.006576099044014838,-0.02792079988733978,0.0,0.360431654676259,0.0020078786919557256
GEMA,2633750.985694885,5955,0.018689004974185384,False,149,0.5148614609571789,0.2214765100671141,-0.01837414891505932,-0.04709806830436372,0.0,0.3560402684563758,-0.0038871141739676915
GEMS,1531250.9999999993,3633,0.009521568627450981,False,73,0.43765483071841454,0.2602739726027397,-0.002362253967093401,-0.02775865069432023,0.05,0.3595890410958904,0.011586332556251428
