rule,trades,win,give_back,gb_mean,bars,mean,in_mkt,cagr,hold,names,reentry
hull55 +1bar,6844,0.3617767387492694,0.06923322828387637,0.08549819085017137,22.73085914669784,0.04326393779625313,0.2319838593990221,0.05266713630973292,0.1306493529329248,231,edge
drop -4%,5233,0.399388496082553,0.07429928284583265,0.08791650327791775,30.945346837378178,0.0352197882060617,0.24147824284566075,0.045453845185371385,0.1306493529329248,231,edge
RANDOM ~ trail 15%,3845,0.48660598179453834,0.07608693295912977,0.11966982769840934,65.69882964889467,0.06311970716198004,0.37669156450797564,0.013394379831837404,0.1306493529329248,231,edge
RANDOM ~ 3day -12%,2689,0.4871699516548903,0.10714281432943008,0.1618454337163209,120.82000743770918,0.14039262857074333,0.48446407508421474,0.03221372017374218,0.1306493529329248,231,edge
RANDOM ~ drop -8%,2486,0.49637972646822204,0.10946143248452193,0.16754340904958256,135.06074014481095,0.1618018694398927,0.500682217751977,0.030846559374402328,0.1306493529329248,231,edge
RANDOM ~ vol climax,2660,0.49624060150375937,0.11091461873314304,0.16401490095515248,121.22293233082706,0.15045532357271474,0.4808375098977494,0.03156578282666112,0.1306493529329248,231,edge
RANDOM ~ trail 25%,2655,0.504708097928437,0.11486495234908267,0.16700436132912835,123.44105461393598,0.15980900485162425,0.4887154473484471,0.037587907927750866,0.1306493529329248,231,edge
drop -6%,3397,0.4486311451280542,0.12,0.14217001071424487,74.12010597586105,0.09043881085028839,0.37545984458855935,0.07182488145508087,0.1306493529329248,231,edge
vol climax,2545,0.46404715127701374,0.1263940031023682,0.17857079819155325,123.64165029469548,0.21651189918660488,0.469228624216568,0.03821799487860462,0.1306493529329248,231,edge
3day -8%,3807,0.41502495403204626,0.12676051406511754,0.13869864213765296,59.52850013133701,0.07827473956447231,0.3379401050093423,0.07357587457158463,0.1306493529329248,231,edge
RANDOM ~ 2x ATR down,2326,0.5004299226139295,0.1311475753807783,0.18466920153665195,149.00515907136716,0.20751574331700862,0.5168243099162401,0.03628573023528465,0.1306493529329248,231,edge
2x ATR down,2245,0.4775055679287305,0.15584421696711218,0.2027841441429755,152.37728285077952,0.21574015879605138,0.5101154625585477,0.054675602788559,0.1306493529329248,231,edge
trail 15%,3410,0.41143695014662757,0.16241491261152013,0.16401793949066973,66.51730205278592,0.10527907281453666,0.338236851091623,0.08323350081654932,0.1306493529329248,231,edge
drop -8%,2370,0.4751054852320675,0.16539840354040275,0.19839520928191212,135.91139240506328,0.18751753929787832,0.4803260329820596,0.07457410710991685,0.1306493529329248,231,edge
3day -12%,2470,0.45587044534412957,0.18686461192545578,0.20348110476064685,125.41902834008097,0.15855089417919627,0.46194716130311797,0.07385650354109324,0.1306493529329248,231,edge
trail 25%,2247,0.43168669336893634,0.25806447758733114,0.22594420582063662,127.19270137961726,0.2161607938917937,0.4261840392360951,0.08102820276599912,0.1306493529329248,231,edge
