ticker,bars,span,tv,cost,trades,in_mkt,rule,hold,start,end,rule_early,hold_early,rule_late,hold_late,edge
SGRO,4709,18.686507936507937,639315001.0000005,0.010187155963302753,104,0.4890634954342748,0.13204009038840803,0.07320695349535988,2007-06-18,2026-08-28,0.2667392336367529,-0.04298698832439063,0.0753478113345567,0.12983636087896544,0.058833136893048144
SHID,6267,24.86904761904762,5242500.999999999,0.010044444444444444,152,0.4734322642412638,-0.14249878251537085,0.0530636680383485,2001-05-31,2026-08-28,-0.2806374138454716,0.06871484602343036,0.011174192014294926,0.03858440659971718,-0.19556245055371935
SHIP,2509,9.956349206349206,662544001.0000001,0.011482352941176471,72,0.5089677162216022,-0.06345747328983753,0.29034864913965674,2016-06-16,2026-08-28,,,-0.06345747328983753,0.29034864913965674,-0.3538061224294943
SICO,1049,4.162698412698413,300825800.9999997,0.014003361344537814,24,0.4156339370829361,-0.20472675100755966,-0.1424168286831785,2022-04-08,2026-08-28,,,-0.20472675100755966,-0.1424168286831785,-0.06230992232438115
SIDO,3111,12.345238095238095,5505842377.008984,0.015403921568627452,71,0.4683381549341048,-0.08942575339033909,0.05165169592371788,2013-12-18,2026-08-28,,,-0.08942575339033909,0.05165169592371788,-0.14107744931405697
SILO,3177,12.607142857142858,2821005001.000004,0.009551259439829872,75,0.48190116462071136,-0.035758795736404836,0.05283239049163191,2013-09-12,2026-08-28,,,-0.035758795736404836,0.05283239049163191,-0.08859118622803674
SIMA,4389,17.416666666666668,1625001.000000001,0.011697560975609755,86,0.33264980633401686,-0.2730869265742686,-0.11608899763185632,2001-01-31,2019-04-08,-0.3281577842121869,-0.15047536883220425,-0.14495558095453875,-0.04077793809828856,-0.15699792894241227
SIMP,3740,14.841269841269842,2785796251.0000043,0.009616064257028111,76,0.477807486631016,0.05665311319838673,-0.02626427762958472,2011-06-09,2026-08-28,0.08879641567464214,-0.14314418898118553,0.05841299311044512,-0.005629815930731086,0.08291739082797145
SINI,1639,6.503968253968254,14672625.999999989,0.010728205128205128,46,0.4612568639414277,0.04340595884538634,0.8390771394394525,2019-11-08,2026-08-28,,,0.04340595884538634,0.8390771394394525,-0.7956711805940662
SIPD,5493,21.797619047619047,17275000.999999985,0.012051612903225806,122,0.4321864190788276,-0.09183025865271266,-0.033399522165526885,2004-05-19,2026-08-28,-0.0621162234347038,-0.13786954272881935,-0.11204074593862967,0.04547548578002014,-0.058430736487185775
SKBM,3416,13.555555555555555,567100.9999999995,0.009947826086956522,95,0.4560889929742389,-0.38737072492993474,0.10204012192292744,2012-09-28,2026-08-28,-0.10345520674343733,3.9729405035787826,-0.40050871269974553,0.009881683445130962,-0.4894108468528622
SKLT,6403,25.408730158730158,1.0,0.030600000000000002,102,0.35452131813212556,-0.03927198600929338,0.0660002077646693,2000-11-22,2026-08-28,0.0043302955812294375,-0.08286947560664437,-0.07795522985188585,0.23379073882789703,-0.10527219377396269
SKRN,1920,7.619047619047619,296232406.0140378,0.013233587786259542,41,0.5635416666666667,0.11105277499509181,0.15367160957901604,2018-10-11,2026-08-28,,,0.11105277499509181,0.15367160957901604,-0.04261883458392424
SKYB,2173,8.623015873015873,1.0,0.010361904761904763,31,0.3041877588587207,-0.15562089642738675,-0.07647552629305987,2010-07-07,2019-04-05,-0.35173320667678054,-0.038212327291642145,-0.034025706249338095,-0.09536404855600678,-0.07914537013432688
SLIS,1663,6.599206349206349,1150881332.151185,0.011298678050341859,35,0.4533974744437763,0.037581343193997085,-0.11164705295219979,2019-10-07,2026-08-28,,,0.037581343193997085,-0.11164705295219979,0.14922839614619687
SMAR,6435,25.535714285714285,22075001.000000007,0.0081706940874036,156,0.5024087024087024,0.005077806874351998,0.16147098260318105,2000-10-09,2026-08-28,0.08200210455441792,0.3307030976801064,-0.05520455065741736,0.017546944671930298,-0.15639317572882905
SMBR,3225,12.797619047619047,2099253325.9999998,0.010407692307692309,65,0.4254263565891473,0.09144401931108548,-0.0863337858134181,2013-06-28,2026-08-28,,,0.09147364226473975,-0.08635937320076281,0.17777780512450359
