feat,h,bucket,ic,t,early,late,n_days
atr_mom20,fwd5,0,-0.03434681220682335,-8.76086459370538,-0.03795168192520297,-0.025819757139934153,6152
atr_mom20,fwd5,1,-0.007573960302033173,-2.129778829569364,-0.013737831875965069,0.006945531490828278,6134
atr_mom20,fwd5,2,0.010467357441244897,2.5162943743978468,0.00809792307912976,0.016047453135394595,6133
atr_mom20,fwd5,3,0.028765931057529476,6.560545977751749,0.028413628154493387,0.029595615957732066,6133
atr_mom20,fwd5,4,0.02578639741989877,5.5779903307701035,0.028932029954370116,0.018352517469725806,6148
squeeze,fwd5,0,-0.014463012365420486,-3.9094803551714827,-0.0014621794561257419,-0.04467501356820171,6076
squeeze,fwd5,1,-0.018757576955646837,-5.284527535087626,-0.013037989248620728,-0.032036532222943774,6072
squeeze,fwd5,2,-0.013115959386620493,-3.2770976480765865,-0.012811519964387815,-0.013820266999652216,6057
squeeze,fwd5,3,0.004834427762773177,1.1516325119558857,0.004341816063359591,0.0059578950356699144,5997
squeeze,fwd5,4,0.016988009974671,3.478894816231992,0.01952008567815408,0.01108860602437863,6087
mom12_1,fwd20,0,0.002311634021716624,0.3775505247740755,0.0004324380928922958,0.006504324331752156,5858
mom12_1,fwd20,1,0.034074808116105505,4.779824827192692,0.03831554065374261,0.02445187725022627,5927
mom12_1,fwd20,2,0.04299638434406421,5.259286174605326,0.039635081576486986,0.05053475006550326,5879
mom12_1,fwd20,3,0.03852951903348689,4.247435255381475,0.0480500679553996,0.01726713481681589,5862
mom12_1,fwd20,4,0.025337502307297623,2.3034334303927104,0.0357091332169622,0.001762493493879127,5934
hi52,fwd20,0,-0.00774487980287892,-1.1032652504233877,-0.012748279841794288,0.003983995081506254,6063
hi52,fwd20,1,0.03793838307632417,5.044193169195816,0.03003914964976197,0.05644690133117038,6061
hi52,fwd20,2,0.07004489412194978,7.562475932086338,0.06506463380390774,0.08167282678950184,6046
hi52,fwd20,3,0.08965911651886886,9.55714870255368,0.08273191950026734,0.10560351428975917,5986
hi52,fwd20,4,0.06865426915151995,6.242327547850738,0.07230809591045079,0.06006283866430419,6076
